rank,agency,symbol,metalValue,metalPoints,efficiencyBonus,efficiency,enteredCases,winningCases,metals,gp,gold,silver,bronze,momentumRank,previousRank,currentRank,baselineValue,latestMetalPoints,sourceNames
1,JOHANNES LEONARDO NEW YORK / ADIDAS LONDON,JLNYA,300,200,100,200.0,1,2,2,2,0,0,0,87,88,1,0,200,JOHANNES LEONARDO | ADIDAS
2,FALLON MINNEAPOLIS,FM,215,115,100,115.0,1,2,2,1,0,1,0,-1,1,2,215,0,FALLON
3,RETHINK CANADA,RC,211,200,11,10.53,19,7,7,1,2,0,4,-1,2,3,211,0,RETHINK
4,DIFFER / COLONY,DC,210,140,70,70.0,2,2,2,1,1,0,0,-1,3,4,210,0,DIFFER
5,ISLE OF ANY NEW YORK / MJZ,IOANY,210,140,70,70.0,2,2,2,1,1,0,0,87,92,5,0,140,ISLE OF ANY | MJZ
6,GUT SÃO PAULO,GSP,205,105,100,105.0,1,2,2,1,0,0,1,-2,4,6,205,0,GUT
7,BBDO PUERTO RICO,BPR,200,100,100,100.0,1,1,1,1,0,0,0,-2,5,7,200,0,BBDO PUERTO RICO
8,MCCANN LIMA,ML,200,100,100,100.0,1,1,1,1,0,0,0,85,93,8,0,100,McCANN LIMA
9,APPLE IN-HOUSE / SOMESUCH,AIHS,160,80,80,80.0,1,2,2,0,2,0,0,87,96,9,0,80,APPLE | SOMESUCH
10,LEO UK,LU,160,120,40,40.0,3,3,3,0,3,0,0,-4,6,10,160,0,LEO
11,DAVID NEW YORK,DNY,157,105,52,52.5,2,2,2,1,0,0,1,79,90,11,0,105,DAVID
12,CANADA BARCELONA / ROSALÍA BARCELONA,CBRB,150,100,50,50.0,2,1,1,1,0,0,0,77,89,12,0,100,CANADA
13,LOLA MULLENLOWE MADRID,LMM,144,140,4,4.24,33,2,2,1,1,0,0,12,25,13,41,100,LOLA
14,BBH NEW YORK,BNY,124,120,4,3.75,32,3,3,0,3,0,0,-7,7,14,124,0,BBH
15,SMUGGLER / UNCOMMON CREATIVE STUDIO,SUCS,114,100,14,14.29,7,1,1,1,0,0,0,-7,8,15,114,0,SMUGGLER
16,LEPUB MILAN / LEPUB SÃO PAULO,LMLSP,110,55,55,55.0,1,2,2,0,1,1,0,-7,9,16,110,0,LEPUB
17,TBWA / MEDIA ARTS LAB LOS ANGELES,TMALL,110,105,5,5.25,20,2,2,1,0,0,1,61,78,17,5,100,TBWA / MEDIA ARTS LAB
18,NORD STOCKHOLM,NS,106,100,6,6.25,16,1,1,1,0,0,0,-8,10,18,106,0,NORD
19,GOOGLE CREATIVE TEAM MOUNTAIN VIEW,GCTMV,105,100,5,5.26,19,1,1,1,0,0,0,72,91,19,0,100,GOOGLE
20,VML UNITED STATES,VUS,100,50,50,50.0,1,3,3,0,1,0,2,-9,11,20,100,0,VML
21,TBWA / CANADA TORONTO,TCT,96,80,16,16.0,5,2,2,0,2,0,0,2,23,21,48,40,TBWA / CANADA
22,DAVID LONDON,DL,90,45,45,45.0,1,2,2,0,1,0,1,-10,12,22,90,0,DAVID
23,FUTUREBRAND SÃO PAULO,FSP,90,45,45,45.0,1,3,3,0,0,3,0,80,103,23,0,45,FUTUREBRAND
24,LOVELY RIO DE JANEIRO,LRDJ,90,45,45,45.0,1,2,2,0,1,0,1,86,110,24,0,45,LOVELY
25,AWGE,AWGE,80,40,40,40.0,1,1,1,0,1,0,0,73,98,25,0,40,
26,CIRCUS GREY LIMA,CGL,80,40,40,40.0,1,1,1,0,1,0,0,73,99,26,0,40,CIRCUS GREY
27,DAVID BOGOTÁ / DAVID MADRID,DBDM,80,40,40,40.0,1,1,1,0,1,0,0,73,100,27,0,40,DAVID
28,GREY MÉXICO CIUDAD DE MÉXICO,GMCDM,80,40,40,40.0,1,1,1,0,1,0,0,76,104,28,0,40,GREY
29,GUCCI IN-HOUSE / MJZ,GIHM,80,40,40,40.0,1,1,1,0,1,0,0,76,105,29,0,40,MJZ
30,HEIMAT / TBWA BERLIN / CANADA / TEMPOMEDIA,HTBCT,80,40,40,40.0,1,1,1,0,1,0,0,77,107,30,0,40,HEIMAT / TBWA | CANADA | TEMPOMEDIA
31,ISLE OF ANY NEW YORK / DAISY CHAIN STUDIO,IOANY,80,40,40,40.0,1,1,1,0,1,0,0,77,108,31,0,40,ISLE OF ANY
32,MCCANN NEW YORK,MNY,80,40,40,40.0,1,1,1,0,1,0,0,79,111,32,0,40,McCANN NEW YORK
33,MISCHIEF @ NO FIXED ADDRESS NEW YORK,MNFAN,80,40,40,40.0,1,1,1,0,1,0,0,79,112,33,0,40,MISCHIEF AT NO FIXED ADDRESS
34,OGILVY / BOLDED / L'ORÉAL,OBLO,80,40,40,40.0,1,1,1,0,1,0,0,79,113,34,0,40,OGILVY | BOLDED | L'OREAL
35,OGILVY SHANGHAI,OS,80,40,40,40.0,1,1,1,0,1,0,0,-22,13,35,80,0,OGILVY
36,ON IN-HOUSE / MJZ LOS ANGELES,OIHML,80,40,40,40.0,1,1,1,0,1,0,0,79,115,36,0,40,MJZ
37,TBWA / SYDNEY,TS,80,40,40,40.0,1,1,1,0,1,0,0,-23,14,37,80,0,TBWA / SYDNEY
38,VML BANGKOK,VB,80,40,40,40.0,1,1,1,0,1,0,0,-23,15,38,80,0,VML
39,VML NEW YORK / VML MADRID,VNYVM,80,40,40,40.0,1,1,1,0,1,0,0,82,121,39,0,40,VML
40,VML NEW YORK / VML SÃO PAULO / VML MEXICO CITY,VNYVS,80,40,40,40.0,1,1,1,0,1,0,0,-24,16,40,80,0,VML
41,VML POLAND WARSAW,VPW,80,40,40,40.0,1,1,1,0,1,0,0,81,122,41,0,40,VML
42,WIEDEN+KENNEDY MEXICO,WKM,80,40,40,40.0,1,1,1,0,1,0,0,81,123,42,0,40,WIEDEN+KENNEDY
43,PUBLICIS BRASIL,PB,80,70,10,10.0,7,3,3,0,1,2,0,-26,17,43,80,0,PUBLICIS BRASIL
44,UNCOMMON CREATIVE STUDIO UK,UCSU,78,75,3,2.78,27,7,7,0,0,4,3,-26,18,44,78,0,UNCOMMON CREATIVE STUDIO
45,BETC FRANCE,BF,62,60,2,2.07,29,3,3,0,1,1,1,-26,19,45,62,0,BETC
46,GUT CANADA,GC,60,45,15,15.0,3,3,3,0,0,3,0,-26,20,46,60,0,GUT
47,MARCEL,MARCE,51,45,6,5.62,8,2,2,0,1,0,1,-26,21,47,51,0,MARCEL
48,LEPUB · OFFICE TBC,LOT,51,50,1,1.19,42,3,3,0,1,0,2,-26,22,48,51,0,LEPUB
49,INGO,INGO,48,45,3,3.21,14,3,3,0,0,3,0,-25,24,49,48,0,INGO
50,GUT BUENOS AIRES,GBA,47,35,12,11.67,3,3,3,0,0,2,1,-23,27,50,40,5,GUT
51,TRY OSLO,TO,47,40,7,6.67,6,1,1,0,1,0,0,68,119,51,0,40,TRY
52,AKQA SWEDEN,AS,46,40,6,5.71,7,1,1,0,1,0,0,42,94,52,0,40,AKQA
53,UNCOMMON CREATIVE STUDIO STOCKHOLM,UCSS,44,40,4,4.44,9,1,1,0,1,0,0,67,120,53,0,40,UNCOMMON CREATIVE STUDIO STOCKHOLM
54,AFRICA CREATIVE,AC,41,40,1,1.21,33,1,1,0,1,0,0,-28,26,54,41,0,AFRICA CREATIVE
55,DENTSU INC. TOKYO,DIT,41,40,1,1.0,40,1,1,0,1,0,0,46,101,55,0,40,DENTSU INC.
56,JONES KNOWLES RITCHIE / GUT AMSTERDAM,JKRGA,40,20,20,20.0,1,2,2,0,0,1,1,53,109,56,0,20,JONES KNOWLES RITCHIE | GUT
57,HAVAS PARIS,HP,36,30,6,6.0,5,2,2,0,0,2,0,-29,28,57,36,0,HAVAS PARIS
58,MOTHER UK,MU,31,30,1,1.2,25,2,2,0,0,2,0,-29,29,58,31,0,MOTHER
59,LEO HONG KONG,LHK,30,15,15,15.0,1,1,1,0,0,1,0,-29,30,59,30,0,LEO HONG KONG
60,NO FIXED ADDRESS,NFA,30,15,15,15.0,1,1,1,0,0,1,0,-29,31,60,30,0,NO FIXED ADDRESS
61,OGILVY NETHERLANDS,ON,30,15,15,15.0,1,1,1,0,0,1,0,-29,32,61,30,0,OGILVY
62,PUBLICIS KSA,PK,30,15,15,15.0,1,1,1,0,0,1,0,-29,33,62,30,0,PUBLICIS KSA
63,THE REFINERY,TR,30,15,15,15.0,1,1,1,0,0,1,0,-29,34,63,30,0,THE REFINERY
64,VML MADRID,VM,30,15,15,15.0,1,1,1,0,0,1,0,-29,35,64,30,0,VML
65,VML SYDNEY,VS,30,15,15,15.0,1,1,1,0,0,1,0,-29,36,65,30,0,VML
66,LEPUB ITALY,LI,30,20,10,10.0,2,2,2,0,0,1,1,-29,37,66,30,0,LEPUB
67,VML UNITED KINGDOM,VUK,25,20,5,5.0,4,4,4,0,0,0,4,-29,38,67,25,0,VML
68,TBWA / CHINA,TC,23,15,8,7.5,2,1,1,0,0,1,0,-29,39,68,23,0,"RADIO, TV AND TOURISM, CHINA, TBWA / CHINA | TBWA / CHINA"
69,FRANK,FRANK,22,20,2,2.5,8,2,2,0,0,1,1,-29,40,69,22,0,FRANK
70,ABBOTT MEAD VICKERS BBDO,AMVB,21,20,1,1.18,17,2,2,0,0,1,1,-29,41,70,21,0,ABBOTT MEAD VICKERS BBDO
71,ALMAPBBDO,ALMAP,21,20,1,0.69,29,2,2,0,0,1,1,-29,42,71,21,0,ALMAPBBDO
72,THE GOOD COMPANY,TGC,20,15,5,5.0,3,1,1,0,0,1,0,-29,43,72,20,0,THE GOOD COMPANY
73,ALMA,ALMA,18,15,3,3.0,5,3,3,0,0,0,3,-29,44,73,18,0,ALMA
74,LEO INDIA,LI,17,15,2,2.14,7,1,1,0,0,1,0,-29,45,74,17,0,LEO INDIA
75,OGILVY HEALTH,OH,17,15,2,1.88,8,1,1,0,0,1,0,-29,46,75,17,0,OGILVY HEALTH
76,OGILVY SINGAPORE,OS,17,15,2,1.5,10,1,1,0,0,1,0,-29,47,76,17,0,OGILVY SINGAPORE
77,PUBLICIS CANADA,PC,17,15,2,1.88,8,1,1,0,0,1,0,-29,48,77,17,0,PUBLICIS CANADA
78,ALMAPBBDO SÃO PAULO,ASP,16,15,1,0.52,29,3,3,0,0,0,3,17,95,78,0,15,ALMAPBBDO
79,ARTPLAN SÃO PAULO,ASP,16,15,1,1.15,13,1,1,0,0,1,0,18,97,79,0,15,ARTPLAN
80,COURAGE,COURA,16,15,1,0.79,19,1,1,0,0,1,0,-31,49,80,16,0,COURAGE
81,DENTSU CREATIVE,DC,16,15,1,0.94,16,1,1,0,0,1,0,-31,50,81,16,0,DENTSU CREATIVE
82,JOE PUBLIC,JP,16,15,1,0.71,21,3,3,0,0,0,3,-31,51,82,16,0,JOE PUBLIC
83,KLICK HEALTH,KH,16,15,1,1.15,13,1,1,0,0,1,0,-31,52,83,16,0,KLICK HEALTH
84,"DROGA5, PART OF ACCENTURE SONG",DPOAS,15,15,0,0.43,35,1,1,0,0,1,0,-31,53,84,15,0,"DROGA5, PART OF ACCENTURE SONG"
85,GUT · OFFICE TBC,GOT,15,15,0,0.31,48,1,1,0,0,1,0,-31,54,85,15,0,GUT
86,McCANN,MC,15,15,0,0.37,41,1,1,0,0,1,0,-31,55,86,15,0,McCANN
87,COLAS ICELAND,CI,10,5,5,5.0,1,1,1,0,0,0,1,-31,56,87,10,0,COLAS ICELAND
88,DAVID COLOMBIA,DC,10,5,5,5.0,1,1,1,0,0,0,1,-31,57,88,10,0,DAVID
89,FOUNDERS,FOUND,10,5,5,5.0,1,1,1,0,0,0,1,-31,58,89,10,0,FOUNDERS
90,FRANK LONDON / DRUM BRASIL / MULLENLOWE / AREA 23,FLDBM,10,5,5,5.0,1,1,1,0,0,0,1,12,102,90,0,5,FRANK | DRUM BRASIL | MULLENLOWE | AREA 23
91,GUT MIAMI,GM,10,5,5,5.0,1,1,1,0,0,0,1,15,106,91,0,5,GUT
92,HUMOUR ME,HM,10,5,5,5.0,1,1,1,0,0,0,1,-33,59,92,10,0,HUMOUR ME
93,LEPUB BRAZIL,LB,10,5,5,5.0,1,1,1,0,0,0,1,-33,60,93,10,0,LEPUB
94,OGILVY CANADA,OC,10,5,5,5.0,1,1,1,0,0,0,1,-33,61,94,10,0,OGILVY
95,PRIME WEBER SHANDWICK,PWS,10,5,5,5.0,1,1,1,0,0,0,1,-33,62,95,10,0,PRIME WEBER SHANDWICK
96,ROMANCE,ROMAN,10,5,5,5.0,1,1,1,0,0,0,1,-33,63,96,10,0,ROMANCE
97,SLAP GLOBAL ARGENTINA,SGA,10,5,5,5.0,1,1,1,0,0,0,1,19,116,97,0,5,SLAP GLOBAL
98,TBWA / LINTAS / DUCKTAPE STUDIOS INDIA,TLDSI,10,5,5,5.0,1,1,1,0,0,0,1,19,117,98,0,5,TBWA / LINTAS
99,TOMBRAS BUENOS AIRES,TBA,10,5,5,5.0,1,1,1,0,0,0,1,19,118,99,0,5,TOMBRAS
100,GREY,GREY,10,10,0,0.31,32,2,2,0,0,0,2,-36,64,100,10,0,GREY
101,LEO · OFFICE TBC,LOT,10,10,0,0.31,32,2,2,0,0,0,2,-36,65,101,10,0,LEO
102,4CREATIVE,4CREA,7,5,2,2.5,2,1,1,0,0,0,1,-36,66,102,7,0,4CREATIVE
103,BLKJ HAVAS,BH,7,5,2,2.5,2,1,1,0,0,0,1,-36,67,103,7,0,BLKJ HAVAS
104,COLENSO BBDO,CB,7,5,2,2.5,2,1,1,0,0,0,1,-36,68,104,7,0,COLENSO BBDO
105,OGILVY INDIA,OI,7,5,2,1.67,3,1,1,0,0,0,1,-36,69,105,7,0,OGILVY INDIA | OGILVY
106,KNOWN,KNOWN,6,5,1,1.25,4,1,1,0,0,0,1,-36,70,106,6,0,KNOWN
107,L'OREAL,LO,6,5,1,0.83,6,1,1,0,0,0,1,-36,71,107,6,0,L'OREAL
108,MEMAC OGILVY,MO,6,5,1,0.83,6,1,1,0,0,0,1,-36,72,108,6,0,MEMAC OGILVY
109,OGILVY HEALTH NEW YORK,OHNY,6,5,1,0.62,8,1,1,0,0,0,1,5,114,109,0,5,OGILVY HEALTH
110,TBWA PARIS,TP,6,5,1,1.0,5,1,1,0,0,0,1,-37,74,111,6,0,TBWA PARIS
111,TBWA / CHIAT / DAY,TCD,6,5,1,0.56,9,1,1,0,0,0,1,-37,73,110,6,0,TBWA / CHIAT / DAY
112,THE LOCAL COLLECTIVE,TLC,6,5,1,0.83,6,1,1,0,0,0,1,-37,75,112,6,0,THE LOCAL COLLECTIVE
113,UNCLE GREY,UG,6,5,1,0.83,6,1,1,0,0,0,1,-37,76,113,6,0,UNCLE GREY
114,UNITED IMAGINATIONS,UI,6,5,1,0.71,7,1,1,0,0,0,1,-37,77,114,6,0,UNITED IMAGINATIONS
115,21GRAMS,21GRA,5,5,0,0.38,13,1,1,0,0,0,1,-36,79,115,5,0,21GRAMS
116,DENTSU INC.,DI,5,5,0,0.12,40,1,1,0,0,0,1,-36,80,116,5,0,DENTSU INC.
117,INNOCEAN BERLIN,IB,5,5,0,0.42,12,1,1,0,0,0,1,-36,81,117,5,0,INNOCEAN BERLIN
118,MARTIN,MARTI,5,5,0,0.38,13,1,1,0,0,0,1,-36,82,118,5,0,MARTIN
119,NOA AKESTAM HOLST,NAH,5,5,0,0.45,11,1,1,0,0,0,1,-36,83,119,5,0,NOA AKESTAM HOLST
120,OGILVY · OFFICE TBC,OOT,5,5,0,0.06,81,1,1,0,0,0,1,-36,84,120,5,0,OGILVY
121,SAATCHI & SAATCHI,SS,5,5,0,0.19,27,1,1,0,0,0,1,-36,85,121,5,0,SAATCHI & SAATCHI
122,SCHOLZ & FRIENDS,SF,5,5,0,0.21,24,1,1,0,0,0,1,-36,86,122,5,0,SCHOLZ & FRIENDS
123,VML · OFFICE TBC,VOT,5,5,0,0.04,124,1,1,0,0,0,1,-36,87,123,5,0,VML
